0     (( i-- ))
1.10000000006e+11 1e+11    . /usr/local/etc/bash_completion.d/cvs
1.10000000006e+11 1e+11    . /usr/local/etc/bash_completion.d/cvsps
1.10000000006e+11 1e+11    . /usr/local/etc/bash_completion.d/dd
1.10000000006e+11 1e+11    . /usr/local/etc/bash_completion.d/dhclient
1.10000000006e+11 1e+11    . /usr/local/etc/bash_completion.d/dict
1.10000000006e+11 1e+11    . /usr/local/etc/bash_completion.d/dpkg
1.10000000006e+11 1e+11    . /usr/local/etc/bash_completion.d/dselect
1.10000000006e+11 1e+11    . /usr/local/etc/bash_completion.d/dsniff
1.10000000007e+11 1e+11    . /usr/local/etc/bash_completion.d/dvd+rw-tools
1.10000000007e+11 1e+11    . /usr/local/etc/bash_completion.d/e2fsprogs
1.10000000007e+11 1e+11    . /usr/local/etc/bash_completion.d/findutils
1.10000000007e+11 1e+11    . /usr/local/etc/bash_completion.d/freeciv
1.10000000007e+11 1e+11    . /usr/local/etc/bash_completion.d/freerdp
1.10000000007e+11 1e+11    . /usr/local/etc/bash_completion.d/fuse
1.10000000007e+11 1e+11    . /usr/local/etc/bash_completion.d/gcc
1.10000000007e+11 1e+11    . /usr/local/etc/bash_completion.d/gcl
1.10000000007e+11 1e+11    . /usr/local/etc/bash_completion.d/gdb
1.10000000007e+11 1e+11    . /usr/local/etc/bash_completion.d/genisoimage
1.10000000007e+11 1e+11    . /usr/local/etc/bash_completion.d/getent
1.10000000007e+11 1e+11    . /usr/local/etc/bash_completion.d/git-completion.bash
1.11000000001e+12 1e+12   complete -o bashdefault -o default -o nospace -F __git_wrap__gitk_main gitk
1.10000000007e+11 1e+11    . /usr/local/etc/bash_completion.d/git-prompt.sh
1.10000000007e+11 1e+11    . /usr/local/etc/bash_completion.d/gkrellm
1.10000000007e+11 1e+11    . /usr/local/etc/bash_completion.d/gnatmake
1.10000000007e+11 1e+11    . /usr/local/etc/bash_completion.d/gpg
1.10000000007e+11 1e+11    . /usr/local/etc/bash_completion.d/gpg2
1.10000000007e+11 1e+11    . /usr/local/etc/bash_completion.d/gzip
1.10000000008e+11 1e+11    . /usr/local/etc/bash_completion.d/heimdal
1.10000000008e+11 1e+11    . /usr/local/etc/bash_completion.d/hping2
1.10000000008e+11 1e+11    . /usr/local/etc/bash_completion.d/iconv
1.10000000008e+11 1e+11    . /usr/local/etc/bash_completion.d/iftop
1.10000000008e+11 1e+11    . /usr/local/etc/bash_completion.d/ifupdown
1.10000000008e+11 1e+11    . /usr/local/etc/bash_completion.d/imagemagick
1.10000000008e+11 1e+11    . /usr/local/etc/bash_completion.d/info
1.10000000008e+11 1e+11    . /usr/local/etc/bash_completion.d/ipmitool
1.10000000008e+11 1e+11    . /usr/local/etc/bash_completion.d/iproute2
1.10000000008e+11 1e+11    . /usr/local/etc/bash_completion.d/ipsec
1.10000000008e+11 1e+11    . /usr/local/etc/bash_completion.d/iptables
1.10000000008e+11 1e+11    . /usr/local/etc/bash_completion.d/ipv6calc
1.10000000008e+11 1e+11    . /usr/local/etc/bash_completion.d/isql
1.10000000008e+11 1e+11    . /usr/local/etc/bash_completion.d/jar
1.10000000008e+11 1e+11    . /usr/local/etc/bash_completion.d/java
1.10000000008e+11 1e+11    . /usr/local/etc/bash_completion.d/k3b
1.10000000008e+11 1e+11    . /usr/local/etc/bash_completion.d/kldload
1.10000000008e+11 1e+11    . /usr/local/etc/bash_completion.d/larch
1.10000000008e+11 1e+11    . /usr/local/etc/bash_completion.d/ldapvi
1.10000000008e+11 1e+11    . /usr/local/etc/bash_completion.d/lftp
1.10000000008e+11 1e+11    . /usr/local/etc/bash_completion.d/lilo
1.10000000008e+11 1e+11    . /usr/local/etc/bash_completion.d/links
1.10000000009e+11 1e+11    . /usr/local/etc/bash_completion.d/lintian
1.10000000009e+11 1e+11    . /usr/local/etc/bash_completion.d/lisp
1.10000000009e+11 1e+11    . /usr/local/etc/bash_completion.d/lrzip
1.10000000009e+11 1e+11    . /usr/local/etc/bash_completion.d/lsof
1.10000000009e+11 1e+11    . /usr/local/etc/bash_completion.d/lvm
1.10000000009e+11 1e+11    . /usr/local/etc/bash_completion.d/lzma
1.10000000009e+11 1e+11    . /usr/local/etc/bash_completion.d/lzop
1.10000000009e+11 1e+11    . /usr/local/etc/bash_completion.d/mailman
1.10000000009e+11 1e+11    . /usr/local/etc/bash_completion.d/make
1.10000000009e+11 1e+11    . /usr/local/etc/bash_completion.d/man
1.10000000009e+11 1e+11    . /usr/local/etc/bash_completion.d/mc
